SNOMED;Diagnóstico;Topografia;DesProcedimento;CID_Preditos;Metodo_Utilizado;Status_Regra;CID;Descrição CID;Classificação Final (2025)
M-82612;Adenocarcinoma in situ in villous adenoma;adenoma ampular;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;D013;Carcinoma in situ do ânus e canal anal;CR Tumores Colorretais
M-82612;Adenocarcinoma in situ in villous adenoma;intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;D010;Carcinoma in situ do cólon;CR Tumores Colorretais
M-82612;Adenocarcinoma in situ in villous adenoma;intestino_delgado_ampula_maligno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-82612;Adenocarcinoma in situ in villous adenoma;aden;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-82532;Adenocarcinoma in situ, mucinous (= formerly mucinous BAC in situ);pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82522;Adenocarcinoma in situ, non-mucinous (= formerly non-mucinous BAC in situ);pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;D021;Carcinoma in situ da traquéia;CR Tumores do Pulmão e Tórax
M-81402;Adenocarcinoma in situ, NOS;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;D021;Carcinoma in situ da traquéia;CR Tumores do Pulmão e Tórax
M-82103;Adenocarcinoma in tubular adenoma or in adenomatous polyp;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-82633;Adenocarcinoma in tubulovillous adenoma;intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;;;
M-82633;Adenocarcinoma in tubulovillous adenoma;intestino_delgado_ampula_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C170;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto
M-82613;Adenocarcinoma in villous adenoma;topografia: intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C170;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto
M-81402;Adenocarcinoma intramucosal of colorectum (in situ);intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-81402;Adenocarcinoma intramucosal of colorectum (in situ);intestino_delgado_ampula_maligno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-81402;Adenocarcinoma intramucosal of colorectum (in situ);intestino_delgado_ampula_benigno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-91103;Adenocarcinoma of rete ovarii;ovário;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;C56;Neoplasia maligna do ovário;CR Tumores Ginecológicos
M-85743;Adenocarcinoma with neuroendocrine differentiation;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82533;Adenocarcinoma, (lepidic) invasive mucinous (formerly mucinous BAC);pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C349;Neoplasia maligna do brônquio e do pulmão, não especificada;CR Tumores do Pulmão e Tórax
M-82523;Adenocarcinoma, (lepidic) non-mucinous (formerly non-mucinous BAC);pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82603;Adenocarcinoma, (Paneth cell-rich) papillary;topografia_pancreas;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C250;Neoplasia maligna da cabeça do pâncreas;CR Tumores do Aparelho Digestivo Alto
M-85503;Adenocarcinoma, acinar;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-81403;Adenocarcinoma, acinar prostatic;próstata;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Urológicos;C61;Neoplasia maligna da próstata;CR Tumores Urológicos
M-81473;Adenocarcinoma, basal cell;topografia: pele;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Cutâneos;C44;Outras neoplasias malignas da pele;CR Tumores Cutâneos
M-81403;Adenocarcinoma, biliary type;figado;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;vesicula_biliar;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C23;Neoplasia maligna da vesícula biliar;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;biliar;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;estomago;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C16;Neoplasia maligna do estômago;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;pancreas_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C25;Neoplasia maligna do pâncreas;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C17;Neoplasia maligna do intestino delgado;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;figado_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;biliar_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;pancreas;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C25;Neoplasia maligna do pâncreas;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;intestino_delgado_ampula_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C17;Neoplasia maligna do intestino delgado;CR Tumores do Aparelho Digestivo Alto
M-81403;Adenocarcinoma, biliary type;estomago_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C16;Neoplasia maligna do estômago;CR Tumores do Aparelho Digestivo Alto
M-84203;Adenocarcinoma, ceruminous;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-83103;Adenocarcinoma, clear cell;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-84803;Adenocarcinoma, colloid;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C349;Neoplasia maligna do brônquio e do pulmão, não especificada;CR Tumores do Pulmão e Tórax
M-84803;Adenocarcinoma, colloid (formerly mucinous cystadenocarcinoma of lung);pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C349;Neoplasia maligna do brônquio e do pulmão, não especificada;CR Tumores do Pulmão e Tórax
M-82013;Adenocarcinoma, cribriform;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C500;Neoplasia maligna do mamilo e aréola;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C501;Neoplasia maligna da porção central da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C502;Neoplasia maligna do quadrante superior interno da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C503;Neoplasia maligna do quadrante inferior interno da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C504;Neoplasia maligna do quadrante superior externo da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C505;Neoplasia maligna do quadrante inferior externo da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C506;Neoplasia maligna da porção axilar da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C508;Neoplasia maligna da mama com lesão invasiva;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform comedo-type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C509;Neoplasia maligna da mama, não especificada;CR Tumores da Mama
M-82013;Adenocarcinoma, cribriform ductal;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-81453;Adenocarcinoma, diffuse type;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-85003;Adenocarcinoma, ductal;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-82013;Adenocarcinoma, ductal cribriform;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-82303;Adenocarcinoma, ductal solid;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-83843;Adenocarcinoma, endocervical, usual type;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;;;
M-85703;Adenocarcinoma, endometrioid with squamous differentiation;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;;;
M-83803;Adenocarcinoma, endometrioid, NOS;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;;;
M-83823;Adenocarcinoma, endometrioid, secretory;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;;;
M-82633;Adenocarcinoma, endometrioid, villoglandular;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-82623;Adenocarcinoma, endometrioid, villous;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;;;
M-81443;Adenocarcinoma, enteric;intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C17;Neoplasia maligna do intestino delgado;CR Tumores do Aparelho Digestivo Alto
M-81443;Adenocarcinoma, enteric;intestino_delgado_ampula_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C17;Neoplasia maligna do intestino delgado;CR Tumores do Aparelho Digestivo Alto
M-83333;Adenocarcinoma, fetal;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-81403;Adenocarcinoma, gastric foveolar type;estomago_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C16;Neoplasia maligna do estômago;CR Tumores do Aparelho Digestivo Alto
M-85763;Adenocarcinoma, hepatoid;fígado;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;CR Tumores do Aparelho Digestivo Alto
M-81443;Adenocarcinoma, intestinal type;estomago;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C16;Neoplasia maligna do estômago;CR Tumores do Aparelho Digestivo Alto
M-81443;Adenocarcinoma, intestinal type;intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C170;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto
M-82503;Adenocarcinoma, lepidic (predominant) (formerly Bronchioloalveolar carcinoma (BAC));pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-85003;Adenocarcinoma, mammary gland type;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-82653;Adenocarcinoma, micropapillary of colorectum;intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Colorretais;;;
M-82653;Adenocarcinoma, micropapillary of colorectum;colon_reto;Não informado;Nenhum_CID_encontrado;REGRA;Tumores colorretais;C18;Neoplasia maligna do cólon;CR Tumores Colorretais
M-82653;Adenocarcinoma, micropapillary of colorectum;colon_reto;Não informado;Nenhum_CID_encontrado;REGRA;Tumores colorretais;C19;Neoplasia maligna da junção retossigmóide;CR Tumores Colorretais
M-82653;Adenocarcinoma, micropapillary of colorectum;colon_reto;Não informado;Nenhum_CID_encontrado;REGRA;Tumores colorretais;C20;Neoplasia maligna do reto;CR Tumores Colorretais
M-82653;Adenocarcinoma, micropapillary of lung;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82573;Adenocarcinoma, minimally invasive mucinous (mucinous MIA) of lung;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82503;Adenocarcinoma, minimally invasive non-mucinous (non-mucinous MIA) of lung;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-83233;Adenocarcinoma, mixed cell of uterus;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-82543;Adenocarcinoma, mixed mucinous and non-mucinous;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82553;Adenocarcinoma, mixed type;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-84803;Adenocarcinoma, mucinous;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C349;Neoplasia maligna do brônquio e do pulmão, não especificada;CR Tumores do Pulmão e Tórax
M-84823;Adenocarcinoma, mucinous, endocervical type;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;;;
M-84823;Adenocarcinoma, mucinous, gastric type;estomago_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C16;Neoplasia maligna do estômago;CR Tumores do Aparelho Digestivo Alto
M-84823;Adenocarcinoma, mucinous, gastric type;estomago_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C160;Neoplasia maligna da cárdia;CR Tumores do Aparelho Digestivo Alto
M-84823;Adenocarcinoma, mucinous, gastric type;estomago_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores do Aparelho Digestivo Alto;C161;Neoplasia maligna do fundo do estômago;CR Tumores do Aparelho Digestivo Alto
