SNOMED;Diagnóstico;
M-84903;Adenocarcinoma, poorly cohesive (including signet ring cell carcinoma and other variants);
M-85723;Adenocarcinoma, sarcomatoid;
M-82133;Adenocarcinoma, serrated;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-84903;Adenocarcinoma, signet ring cell;
M-82303;Adenocarcinoma, solid (with mucin production);
M-82303;Adenocarcinoma, solid ductal;
M-82113;Adenocarcinoma, tubular;
M-82633;Adenocarcinoma, villoglandular;
M-90130;Adenofibroma, biliary;
M-83130;Adenofibroma, clear cell;
M-83810;Adenofibroma, endometrioid;
M-90130;Adenofibroma, metanephric;
M-90150;Adenofibroma, mucinous;
M-90130;Adenofibroma, NOS;
M-90140;Adenofibroma, seromucinous;
M-90140;Adenofibroma, serous;
M-80983;Adenoid basal carcinoma;
M-80983;Adenoid basal carcinoma;
M-80983;Adenoid basal carcinoma;
M-80983;Adenoid basal carcinoma;
M-80983;Adenoid basal carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-82003;Adenoid cystic carcinoma;
M-80753;Adenoid squamous cell carcinoma;
M-84200;Adenoma of ceruminous glands;
M-91100;Adenoma of rete ovarii;
M-82720;Adenoma, ACTH producing;
M-82720;Adenoma, ACTH producing;
M-82720;Adenoma, ACTH producing;
M-82720;Adenoma, ACTH producing;
M-83700;Adenoma, adrenal cortical;
M-82510;Adenoma, alveolar;
M-84010;Adenoma, apocrine;
M-82721;Adenoma, atypical;
M-81470;Adenoma, basal cell;
M-81600;Adenoma, bile duct (peribiliary gland hamartoma and others);
M-81490;Adenoma, canalicular;
M-82700;Adenoma, chromophobic;
M-82720;Adenoma, corticotropic;
M-85030;Adenoma, ductal;
M-83300;Adenoma, follicular;
M-82720;Adenoma, gonadotropin producing;
M-82720;Adenoma, growth hormone producing;
M-81700;Adenoma, hepatocellular;
M-81440;Adenoma, intestinal-type;
M-82040;Adenoma, lactating;
M-83250;Adenoma, metanephric;
M-82020;Adenoma, microcystic;
M-84800;Adenoma, mucous gland;
M-85060;Adenoma, nipple;
M-81400;Adenoma, NOS;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-82600;Adenoma, papillary;
M-81400;Adenoma, parathyroid;
M-89400;Adenoma, pleomorphic;
M-82710;Adenoma, prolactin producing;
M-84100;Adenoma, sebaceous;
M-82130;Adenoma, serrated;
M-84070;Adenoma, syringomatous;
M-82720;Adenoma, TSH producing;
M-82110;Adenoma, tubular;
M-82100;Adenoma, tubular / adenomatous polyp;
M-82100;Adenoma, tubular / adenomatous polyp;
M-82100;Adenoma, tubular / adenomatous polyp;
M-82100;Adenoma, tubular / adenomatous polyp;
M-82630;Adenoma, tubulopapillary;
M-82630;Adenoma, tubulovillous;
M-82720;Adenoma, typical;
M-82610;Adenoma, villous;
M-93000;Adenomatoid odontogenic tumour;
M-90540;Adenomatoid tumour;
M-89830;Adenomyoepithelioma;
M-89833;Adenomyoepithelioma with carcinoma;
M-89320;Adenomyoma;
M-89320;Adenomyoma, atypical polypoid;
M-89333;Adenosarcoma, NOS;
M-89333;Adenosarcoma, NOS;
M-89333;Adenosarcoma, NOS;
M-74200;Adenosis, apocrine;
M-74200;Adenosis, microglandular;
M-74200;Adenosis, NOS;
M-74200;Adenosis, sclerosing;
M-85703;Adenosquamous carcinoma, Low grade;
M-85603;Adenosquamous carcinoma, NOS;
M-83903;Adnexal carcinoma of skin, NOS;
M-83700;Adrenal cortical adenoma;
M-83703;Adrenal cortical carcinoma;
M-88103;Adult fibrosarcoma;
M-88103;Adult fibrosarcoma;
M-88103;Adult fibrosarcoma;
M-88103;Adult fibrosarcoma;
M-88103;Adult fibrosarcoma;
M-98273;Adult T-cell leukaemia/lymphoma;
M-98273;Adult T-cell leukaemia/lymphoma;
M-86201;Adult type granulosa cell tumour;
M-88411;Aggressive angiomyxoma;
M-88211;Aggressive fibromatosis;
M-99483;Aggressive NK cell leukaemia;
M-97413;Aggressive systemic mastocytosis;
M-97023;ALK negative Anaplastic Large Cell Lymphoma (ALCL);
M-97143;ALK positive Anaplastic Large Cell Lymphoma (ALCL);
M-97373;ALK positive large B-cell lymphoma;
M-98113;ALL, B-cell, NOS;
M-98113;ALL, B-cell, NOS;
M-98153;ALL, B-cell, with hyperdiploidy;
M-98163;ALL, B-cell, with hypodiploidy (hypodiploid ALL);
M-98183;"ALL, B-cell, with t(1;19) (q23;p13.3); E2A-PBX1 (TCF3-PBX1)";
M-98143;"ALL, B-cell, with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)";
M-98173;"ALL, B-cell, with t(5;14)(q31;q32); IL3-IGH";
M-98123;"ALL, B-cell, with t(9;22)(q34;q11.2); BCR-ABL1";
M-98133;"ALL, B-cell, with t(v;11q23); MLL rearranged";
M-98353;ALL, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-98373;ALL, T-cell, NOS;
M-82510;Alveolar adenoma;
M-85203;Alveolar lobular carcinoma;
M-89203;Alveolar rhabdomyosarcoma (ARMS);
M-95813;Alveolar soft-part sarcoma;
M-87303;Amelanotic melanoma;
M-92703;Ameloblastic carcinoma;
M-92903;Ameloblastic fibrodentino- and fibro-odontosarcoma;
M-92710;Ameloblastic fibrodentinoma;
M-93300;Ameloblastic fibroma;
M-92900;Ameloblastic fibro-odontoma;
M-93303;Ameloblastic fibrosarcoma;
M-93103;Ameloblastoma, Metastasising (malignant);
M-93100;Ameloblastoma, NOS;
M-99113;"AML (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1";
M-98673;AML M4;
M-98713;AML M4Eo;
M-98913;AML M5;
M-98913;AML M5A;
M-98913;AML M5B;
M-98403;AML M6;
M-98713;AML with abnormal (marrow) eosinophils;
M-98713;"AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11";
M-98693;"AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1";
M-98743;AML with maturation;
M-98723;AML with minimal differentiation;
M-98613;AML with mutated CEBPA;
M-98613;AML with mutated NPM1;
M-98953;AML with myelodysplasia-related changes (multilineage dysplasia);
M-98653;"AML with t(6;9)(p23;q34); DEK-NUP214";
M-98963;"AML with t(8;21)(q22;q22) RUNX1-RUNX1T1";
M-98973;"AML with t(9;11)(p22;q23); MLLT3-MLL";
M-98733;AML without maturation;
M-80772;Anal squamous intraepithelial neoplasia, high grade (severe dysplasia);
M-80770;Anal squamous intraepithelial neoplasia, low grade (low and moderate dysplasia);
M-94013;Anaplastic astrocytoma, IDH-mutant;
M-94013;Anaplastic astrocytoma, IDH-wildtype;
M-94013;Anaplastic astrocytoma, NOS;
M-80213;Anaplastic carcinoma;
M-93923;Anaplastic ependymoma;
M-95053;Anaplastic ganglioglioma;
M-97023;Anaplastic large cell lymphoma (ALCL), ALK negative;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), ALK positive;
M-97143;Anaplastic large cell lymphoma (ALCL), NOS;
M-94743;Anaplastic medulloblastoma;
M-95303;Anaplastic meningioma;
M-95303;Anaplastic meningioma;
M-93823;Anaplastic oligoastrocytoma, NOS;
M-94513;Anaplastic oligodendroglioma, IDH-mutant and 1p/19q-codeleted;
M-94513;Anaplastic oligodendroglioma, NOS;
M-94513;Anaplastic oligodendroglioma, NOS;
M-94513;Anaplastic oligodendroglioma, NOS;
M-94513;Anaplastic oligodendroglioma, NOS;
M-94243;Anaplastic pleomorphic xanthoastrocytoma;
M-90623;Anaplastic seminoma;
M-92600;Aneurysmal bone cyst;
M-94311;Angiocentric glioma;
M-97193;Angiocentric T-cell lymphoma;
M-97193;Angiocentric T-cell lymphoma;
M-97193;Angiocentric T-cell lymphoma;
M-91600;Angiofibroma (cellular);
M-91600;Angiofibroma, nasopharyngeal;
M-97671;Angioimmunoblastic lymphadenopathy;
M-97053;Angioimmunoblastic T-cell lymphoma (AITL);
M-91410;Angiokeratoma;
M-88940;Angioleiomyoma;
M-88610;Angiolipoma;
M-91250;Angiolymphoid hyperplasia with eosinophilia;
M-91610;Angioma, tufted;
M-88361;Angiomatoid fibrous histiocytoma;
M-95340;Angiomatous meningioma;
M-95340;Angiomatous meningioma;
M-88260;Angiomyofibroblastoma;
M-88260;Angiomyofibroblastoma;
M-88601;Angiomyolipoma, epithelioid;
M-88600;Angiomyolipoma, extra-renal;
M-88600;Angiomyolipoma, NOS;
M-88411;Angiomyxoma, aggressive;
M-88411;Angiomyxoma, deep ('aggressive');
M-88411;Angiomyxoma, superficial;
M-91203;Angiosarcoma, cutaneous;
M-91203;Angiosarcoma, NOS;
M-91203;Angiosarcoma, NOS;
M-86913;Aortico-pulmonary paraganglioma;
M-84010;Apocrine adenoma;
M-74200;Apocrine adenosis;
M-84013;Apocrine carcinoma;
M-91230;Arteriovenous haemangioma;
M-94303;Astroblastoma;
M-94013;Astrocytoma, anaplastic, IDH-mutant;
M-94013;Astrocytoma, anaplastic, IDH-wildtype;
M-94013;Astrocytoma, anaplastic, NOS;
M-94121;Astrocytoma, desmoplastic infantile;
M-94003;Astrocytoma, diffuse, IDH-mutant;
M-94003;Astrocytoma, diffuse, IDH-wildtype;
M-94003;Astrocytoma, diffuse, NOS;
M-94113;Astrocytoma, gemistocytic, IDH-mutant;
M-94113;Astrocytoma, gemistocytic, NOS;
M-94211;Astrocytoma, pilocytic;
M-94253;Astrocytoma, pilomyxoid;
M-93841;Astrocytoma, subependymal giant cell;
M-97323;Asymptomatic plasma cell myeloma;
M-76005;Atypia;
M-82721;Atypical adenoma;
M-82500;Atypical adenomatous hyperplasia;
M-82493;Atypical carcinoid;
M-93901;Atypical choroid plexus papilloma;
M-98763;Atypical chronic myeloid leukaemia, BCR-ABL1 negative;
M-72175;Atypical ductal hyperplasia;
M-83802;Atypical endometrial hyperplasia;
M-88301;Atypical fibroxanthoma;
M-67034;Atypical glandular cells, NOS;
M-82500;Atypical hyperplasia, adenomatous;
M-72175;Atypical hyperplasia, ductal;
M-83802;Atypical hyperplasia, endometrial;
M-72105;Atypical hyperplasia, lobular;
M-72005;Atypical hyperplasia, NOS;
M-88501;Atypical lipomatous tumour;
M-72105;Atypical lobular hyperplasia;
M-85133;Atypical medullary carcinoma;
M-95391;Atypical meningioma;
M-95391;Atypical meningioma;
M-88111;Atypical myxoinflammatory fibroblastic tumour;
M-95400;Atypical neurofibroma;
M-89320;Atypical polypoid adenomyoma;
M-90001;Atypical proliferative Brenner tumour;
M-84441;Atypical proliferative clear cell tumour;
M-83801;Atypical proliferative endometrioid tumour;
M-84721;Atypical proliferative mucinous tumour;
M-84741;Atypical proliferative seromucinous tumour;
M-84421;Atypical proliferative serous tumour;
M-81480;Atypical Small Acinar Proliferation (ASAP);
M-67014;Atypical Squamous Cells of Undetermined significance;
M-67019;Atypical Squamous Cells, cannot exclude HSIL;
M-95083;Atypical teratoid / rhabdoid tumour (ATRT);
M-76005;Atypical vascular lesion;
M-98153;B lymphoblastic leukaemia/lymphoma with hyperdiploidy;
M-98163;B lymphoblastic leukaemia/lymphoma with hypodiploidy (hypodiploid ALL);
M-98183;"B lymphoblastic leukaemia/lymphoma with t(1;19) (q23;p13.3); E2A-PBX1 (TCF3-PBX1)";
M-98143;"B lymphoblastic leukaemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)";
M-98173;"B lymphoblastic leukaemia/lymphoma with t(5;14)(q31;q32); IL3-IGH";
M-98123;"B lymphoblastic leukaemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1";
M-98133;"B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged";
M-98133;"B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged";
M-98113;B lymphoblastic leukaemia/lymphoma, NOS;
M-98113;B lymphoblastic leukaemia/lymphoma, NOS;
M-81473;Basal cell adenocarcinoma;
M-81470;Basal cell adenoma;
M-80983;Basal cell carcinoma with adnexal differentiation;
M-80983;Basal cell carcinoma, adenoid;
M-80933;Basal cell carcinoma, fibro-epithelial;
M-80923;Basal cell carcinoma, infiltrating;
M-80903;Basal cell carcinoma, keratotic;
M-80903;Basal cell carcinoma, micronodular;
M-80973;Basal cell carcinoma, nodular (solid);
M-80903;Basal cell carcinoma, NOS;
M-80913;Basal cell carcinoma, superficial;
M-81233;Basaloid carcinoma;
M-80833;Basaloid squamous cell carcinoma;
M-80833;Basaloid squamous cell carcinoma;
M-80943;Basosquamous carcinoma;
M-95913;B-cell lymphoma, NOS;
M-95913;B-cell lymphoma, NOS;
M-96803;B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma;
M-96803;B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma;
M-98333;B-cell prolymphocytic leukaemia;
M-98333;B-cell prolymphocytic leukaemia;
M-88300;Benign fibrous histiocytoma;
M-09400;Benign tumour, negative resection margin;
M-09402;Benign tumour, positive resection margin;
M-81600;Bile duct adenoma (peribiliary gland hamartoma and others);
M-81480;"Biliary (glandular) intraepithelial neoplasia, grade 1 or 2 (BillN-1; BillN-2)";
M-81482;Biliary (glandular) intraepithelial neoplasia, grade 3 (BillN-3);
M-90130;Biliary adenofibroma;
M-81403;Biliary type adenocarcinoma;
M-81480;BillN-1 (Biliary (glandular) intraepithelial neoplasia, grade 1);
M-81480;BillN-2 (Biliary (glandular) intraepithelial neoplasia, grade 2);
M-81480;BillN-2 (Biliary (glandular) intraepithelial neoplasia, grade 2);
